borrower,symbol,token_address,total_borrowed_amt
0xc30f6ee36a1746dd71c7e81529eeae7ce2f52252,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,1721002.9989561408
0x165c6610fdf8b6f5ca2252e77e6a2a9f545e03c7,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1708493.15088529
0xe7cd2fa44cce16e70867338f7b9fd60ad3b9d4b5,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,1699778.73545886
0x2c2d1332f71fa893246570fcee2664dc993bc908,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1658708.3309228902
0x8348e36663d62098eb7b0f6b1814ab6e90c62a9a,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1649888.7404999998
0x7bf6e86eea9b360a49066d7fdf12c9d2f3bc6c29,cbBTC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,1506207.51
0xb5c98c0d2861d39c538aff4e87cee946ffa1adf4,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,1500318.405
0x9d8f9295268674332a108ed7d2f537413fc8b9ea,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,1500318.405
0xe5379345675132653bd303030c6e456034ed1961,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,1495317.34365
0x77e19de48f43af1d150aaef2de7e7ab8f3e55360,PYUSD,0x6c3ea9036406852006290770bedfcaba0e23a0e8,1485702.40277631
0xd71f4423e097888af07e2ceac0e71b9a43f64a1f,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,1450307.7914999998
